GAT(
  (gat_layers): ModuleList(
    (0): GATConv(
      (fc): Linear(in_features=500, out_features=64, bias=False)
      (feat_drop): Dropout(p=0.6, inplace=False)
      (attn_drop): Dropout(p=0.6, inplace=False)
      (leaky_relu): LeakyReLU(negative_slope=0.2)
    )
    (1): GATConv(
      (fc): Linear(in_features=64, out_features=24, bias=False)
      (feat_drop): Dropout(p=0.6, inplace=False)
      (attn_drop): Dropout(p=0.6, inplace=False)
      (leaky_relu): LeakyReLU(negative_slope=0.2)
    )
  )
)
Epoch 00000 | Time(s) nan | Loss 1.0983 | TrainAcc 0.3500 | ValAcc 0.4060 | f1-score 0.2920 |ETputs(KTEPS) nan| GPU : 139.7 MB 
Epoch 00050 | Time(s) 0.0146 | Loss 0.7089 | TrainAcc 0.9333 | ValAcc 0.7480 | f1-score 0.7260 |ETputs(KTEPS) 7442.23| GPU : 140.1 MB 
Epoch 00051 | Time(s) 0.0146 | Loss 0.6394 | TrainAcc 0.9000 | ValAcc 0.7480 | f1-score 0.7380 |ETputs(KTEPS) 7441.63| GPU : 140.1 MB 
Epoch 00052 | Time(s) 0.0145 | Loss 0.6548 | TrainAcc 0.9000 | ValAcc 0.7540 | f1-score 0.7360 |ETputs(KTEPS) 7497.60| GPU : 140.1 MB 
Epoch 00053 | Time(s) 0.0144 | Loss 0.6225 | TrainAcc 0.9000 | ValAcc 0.7560 | f1-score 0.7520 |ETputs(KTEPS) 7501.64| GPU : 140.1 MB 
Epoch 00054 | Time(s) 0.0144 | Loss 0.5994 | TrainAcc 0.8667 | ValAcc 0.7560 | f1-score 0.7420 |ETputs(KTEPS) 7536.61| GPU : 140.1 MB 
Epoch 00055 | Time(s) 0.0143 | Loss 0.6076 | TrainAcc 0.9000 | ValAcc 0.7560 | f1-score 0.7260 |ETputs(KTEPS) 7584.76| GPU : 140.1 MB 
Epoch 00056 | Time(s) 0.0147 | Loss 0.6176 | TrainAcc 0.9167 | ValAcc 0.7580 | f1-score 0.7520 |ETputs(KTEPS) 7360.97| GPU : 140.1 MB 
Epoch 00057 | Time(s) 0.0148 | Loss 0.6141 | TrainAcc 0.8833 | ValAcc 0.7600 | f1-score 0.7420 |ETputs(KTEPS) 7317.95| GPU : 140.1 MB 
Epoch 00058 | Time(s) 0.0148 | Loss 0.5667 | TrainAcc 0.9333 | ValAcc 0.7600 | f1-score 0.7320 |ETputs(KTEPS) 7330.32| GPU : 140.1 MB 
Epoch 00059 | Time(s) 0.0147 | Loss 0.5717 | TrainAcc 0.9167 | ValAcc 0.7600 | f1-score 0.7260 |ETputs(KTEPS) 7354.46| GPU : 140.1 MB 
Epoch 00060 | Time(s) 0.0147 | Loss 0.5400 | TrainAcc 0.9167 | ValAcc 0.7600 | f1-score 0.7440 |ETputs(KTEPS) 7365.94| GPU : 140.1 MB 
Epoch 00061 | Time(s) 0.0147 | Loss 0.5411 | TrainAcc 0.9500 | ValAcc 0.7600 | f1-score 0.7420 |ETputs(KTEPS) 7357.08| GPU : 140.1 MB 
Epoch 00062 | Time(s) 0.0147 | Loss 0.5460 | TrainAcc 0.9167 | ValAcc 0.7600 | f1-score 0.7560 |ETputs(KTEPS) 7377.22| GPU : 140.1 MB 
Epoch 00063 | Time(s) 0.0146 | Loss 0.5133 | TrainAcc 0.9667 | ValAcc 0.7620 | f1-score 0.7780 |ETputs(KTEPS) 7401.36| GPU : 140.1 MB 
Epoch 00064 | Time(s) 0.0146 | Loss 0.5106 | TrainAcc 0.9333 | ValAcc 0.7620 | f1-score 0.7600 |ETputs(KTEPS) 7432.80| GPU : 140.1 MB 
Epoch 00065 | Time(s) 0.0146 | Loss 0.5181 | TrainAcc 0.9333 | ValAcc 0.7640 | f1-score 0.7260 |ETputs(KTEPS) 7439.33| GPU : 140.1 MB 
Epoch 00066 | Time(s) 0.0146 | Loss 0.5369 | TrainAcc 0.9333 | ValAcc 0.7660 | f1-score 0.7820 |ETputs(KTEPS) 7413.96| GPU : 140.1 MB 
Epoch 00067 | Time(s) 0.0146 | Loss 0.4930 | TrainAcc 0.9500 | ValAcc 0.7720 | f1-score 0.7400 |ETputs(KTEPS) 7426.32| GPU : 140.1 MB 
Epoch 00068 | Time(s) 0.0145 | Loss 0.4444 | TrainAcc 0.9500 | ValAcc 0.7720 | f1-score 0.7460 |ETputs(KTEPS) 7450.67| GPU : 140.1 MB 
Epoch 00069 | Time(s) 0.0145 | Loss 0.4407 | TrainAcc 0.9167 | ValAcc 0.7760 | f1-score 0.7580 |ETputs(KTEPS) 7477.02| GPU : 140.1 MB 
Epoch 00070 | Time(s) 0.0144 | Loss 0.4791 | TrainAcc 0.9000 | ValAcc 0.7760 | f1-score 0.7660 |ETputs(KTEPS) 7517.57| GPU : 140.1 MB 
Epoch 00071 | Time(s) 0.0144 | Loss 0.4840 | TrainAcc 0.8833 | ValAcc 0.7780 | f1-score 0.7600 |ETputs(KTEPS) 7536.02| GPU : 140.1 MB 
Epoch 00072 | Time(s) 0.0144 | Loss 0.4972 | TrainAcc 0.9167 | ValAcc 0.7780 | f1-score 0.7660 |ETputs(KTEPS) 7544.59| GPU : 140.1 MB 
Epoch 00073 | Time(s) 0.0144 | Loss 0.3773 | TrainAcc 0.9333 | ValAcc 0.7800 | f1-score 0.7440 |ETputs(KTEPS) 7533.96| GPU : 140.1 MB 
Epoch 00074 | Time(s) 0.0144 | Loss 0.3974 | TrainAcc 0.9500 | ValAcc 0.7820 | f1-score 0.7680 |ETputs(KTEPS) 7549.64| GPU : 140.1 MB 
Epoch 00075 | Time(s) 0.0144 | Loss 0.4377 | TrainAcc 0.9333 | ValAcc 0.7820 | f1-score 0.7720 |ETputs(KTEPS) 7507.90| GPU : 140.1 MB 
Epoch 00076 | Time(s) 0.0145 | Loss 0.3772 | TrainAcc 0.9167 | ValAcc 0.7820 | f1-score 0.7480 |ETputs(KTEPS) 7485.14| GPU : 140.1 MB 
Epoch 00077 | Time(s) 0.0145 | Loss 0.3732 | TrainAcc 0.9333 | ValAcc 0.7820 | f1-score 0.7780 |ETputs(KTEPS) 7476.22| GPU : 140.1 MB 
Epoch 00078 | Time(s) 0.0145 | Loss 0.4016 | TrainAcc 0.9500 | ValAcc 0.7860 | f1-score 0.7600 |ETputs(KTEPS) 7469.88| GPU : 140.1 MB 
Epoch 00079 | Time(s) 0.0145 | Loss 0.3826 | TrainAcc 0.9500 | ValAcc 0.7840 | f1-score 0.7560 |ETputs(KTEPS) 7489.38| GPU : 140.1 MB 
Epoch 00080 | Time(s) 0.0144 | Loss 0.4199 | TrainAcc 0.9167 | ValAcc 0.7840 | f1-score 0.7600 |ETputs(KTEPS) 7519.78| GPU : 140.1 MB 
Epoch 00081 | Time(s) 0.0144 | Loss 0.3840 | TrainAcc 0.9500 | ValAcc 0.7840 | f1-score 0.7420 |ETputs(KTEPS) 7544.45| GPU : 140.1 MB 
Epoch 00082 | Time(s) 0.0143 | Loss 0.3702 | TrainAcc 0.9500 | ValAcc 0.7840 | f1-score 0.7460 |ETputs(KTEPS) 7557.36| GPU : 140.1 MB 
Epoch 00083 | Time(s) 0.0143 | Loss 0.3532 | TrainAcc 0.9333 | ValAcc 0.7840 | f1-score 0.7420 |ETputs(KTEPS) 7586.32| GPU : 140.1 MB 
Epoch 00084 | Time(s) 0.0142 | Loss 0.4025 | TrainAcc 0.9333 | ValAcc 0.7860 | f1-score 0.7740 |ETputs(KTEPS) 7614.24| GPU : 140.1 MB 
Epoch 00085 | Time(s) 0.0142 | Loss 0.4077 | TrainAcc 0.9500 | ValAcc 0.7860 | f1-score 0.7800 |ETputs(KTEPS) 7633.54| GPU : 140.1 MB 
Epoch 00086 | Time(s) 0.0142 | Loss 0.3904 | TrainAcc 0.9167 | ValAcc 0.7900 | f1-score 0.7740 |ETputs(KTEPS) 7628.25| GPU : 140.1 MB 
Epoch 00087 | Time(s) 0.0142 | Loss 0.3500 | TrainAcc 0.9167 | ValAcc 0.7920 | f1-score 0.7660 |ETputs(KTEPS) 7652.10| GPU : 140.1 MB 
Epoch 00088 | Time(s) 0.0141 | Loss 0.3810 | TrainAcc 0.9167 | ValAcc 0.7940 | f1-score 0.7560 |ETputs(KTEPS) 7679.05| GPU : 140.1 MB 
Epoch 00089 | Time(s) 0.0141 | Loss 0.3093 | TrainAcc 0.9500 | ValAcc 0.7940 | f1-score 0.7820 |ETputs(KTEPS) 7668.87| GPU : 140.1 MB 
Epoch 00090 | Time(s) 0.0141 | Loss 0.3219 | TrainAcc 0.9500 | ValAcc 0.7940 | f1-score 0.7840 |ETputs(KTEPS) 7676.85| GPU : 140.1 MB 
Epoch 00091 | Time(s) 0.0141 | Loss 0.3289 | TrainAcc 0.9500 | ValAcc 0.7960 | f1-score 0.7660 |ETputs(KTEPS) 7691.34| GPU : 140.1 MB 
Epoch 00092 | Time(s) 0.0141 | Loss 0.3514 | TrainAcc 0.9500 | ValAcc 0.7960 | f1-score 0.7840 |ETputs(KTEPS) 7709.53| GPU : 140.1 MB 
Epoch 00093 | Time(s) 0.0140 | Loss 0.3111 | TrainAcc 0.9500 | ValAcc 0.7960 | f1-score 0.7660 |ETputs(KTEPS) 7734.74| GPU : 140.1 MB 
Epoch 00094 | Time(s) 0.0140 | Loss 0.3427 | TrainAcc 0.9500 | ValAcc 0.7940 | f1-score 0.7520 |ETputs(KTEPS) 7739.08| GPU : 140.1 MB 
Epoch 00095 | Time(s) 0.0140 | Loss 0.3082 | TrainAcc 0.9333 | ValAcc 0.7960 | f1-score 0.7840 |ETputs(KTEPS) 7750.35| GPU : 140.1 MB 
Epoch 00096 | Time(s) 0.0140 | Loss 0.3428 | TrainAcc 0.9000 | ValAcc 0.7980 | f1-score 0.7720 |ETputs(KTEPS) 7753.33| GPU : 140.1 MB 
Epoch 00097 | Time(s) 0.0140 | Loss 0.3092 | TrainAcc 0.9333 | ValAcc 0.7980 | f1-score 0.7600 |ETputs(KTEPS) 7751.15| GPU : 140.1 MB 
Epoch 00098 | Time(s) 0.0140 | Loss 0.2859 | TrainAcc 0.9667 | ValAcc 0.7980 | f1-score 0.7660 |ETputs(KTEPS) 7766.40| GPU : 140.1 MB 
Epoch 00099 | Time(s) 0.0140 | Loss 0.3460 | TrainAcc 0.9667 | ValAcc 0.7980 | f1-score 0.7760 |ETputs(KTEPS) 7761.02| GPU : 140.1 MB 
Epoch 00100 | Time(s) 0.0139 | Loss 0.2646 | TrainAcc 0.9833 | ValAcc 0.8000 | f1-score 0.7660 |ETputs(KTEPS) 7768.86| GPU : 140.1 MB 
Epoch 00101 | Time(s) 0.0139 | Loss 0.2598 | TrainAcc 0.9500 | ValAcc 0.8020 | f1-score 0.7900 |ETputs(KTEPS) 7787.04| GPU : 140.1 MB 
Epoch 00102 | Time(s) 0.0139 | Loss 0.3095 | TrainAcc 0.9333 | ValAcc 0.8000 | f1-score 0.7660 |ETputs(KTEPS) 7804.69| GPU : 140.1 MB 
Epoch 00103 | Time(s) 0.0138 | Loss 0.3427 | TrainAcc 0.9500 | ValAcc 0.8000 | f1-score 0.7640 |ETputs(KTEPS) 7830.10| GPU : 140.1 MB 
Epoch 00104 | Time(s) 0.0138 | Loss 0.3021 | TrainAcc 0.9667 | ValAcc 0.7980 | f1-score 0.7880 |ETputs(KTEPS) 7839.97| GPU : 140.1 MB 
Epoch 00105 | Time(s) 0.0138 | Loss 0.2992 | TrainAcc 0.9333 | ValAcc 0.7980 | f1-score 0.7880 |ETputs(KTEPS) 7845.58| GPU : 140.1 MB 
Epoch 00106 | Time(s) 0.0138 | Loss 0.2978 | TrainAcc 0.9500 | ValAcc 0.8000 | f1-score 0.7760 |ETputs(KTEPS) 7840.85| GPU : 140.1 MB 
Epoch 00107 | Time(s) 0.0138 | Loss 0.2821 | TrainAcc 0.9667 | ValAcc 0.7960 | f1-score 0.7920 |ETputs(KTEPS) 7830.71| GPU : 140.1 MB 
Epoch 00108 | Time(s) 0.0138 | Loss 0.2934 | TrainAcc 0.9667 | ValAcc 0.7980 | f1-score 0.7740 |ETputs(KTEPS) 7841.49| GPU : 140.1 MB 
Epoch 00109 | Time(s) 0.0138 | Loss 0.2864 | TrainAcc 0.9500 | ValAcc 0.7960 | f1-score 0.7800 |ETputs(KTEPS) 7838.96| GPU : 140.1 MB 
Epoch 00110 | Time(s) 0.0138 | Loss 0.2559 | TrainAcc 0.9500 | ValAcc 0.7980 | f1-score 0.7760 |ETputs(KTEPS) 7839.68| GPU : 140.1 MB 
Epoch 00111 | Time(s) 0.0139 | Loss 0.2607 | TrainAcc 0.9500 | ValAcc 0.7960 | f1-score 0.7780 |ETputs(KTEPS) 7823.48| GPU : 140.1 MB 
Epoch 00112 | Time(s) 0.0139 | Loss 0.2695 | TrainAcc 0.9667 | ValAcc 0.7980 | f1-score 0.7820 |ETputs(KTEPS) 7808.20| GPU : 140.1 MB 
Epoch 00113 | Time(s) 0.0140 | Loss 0.3061 | TrainAcc 0.9667 | ValAcc 0.7980 | f1-score 0.7820 |ETputs(KTEPS) 7720.42| GPU : 140.1 MB 
Epoch 00114 | Time(s) 0.0140 | Loss 0.2556 | TrainAcc 0.9667 | ValAcc 0.8000 | f1-score 0.7800 |ETputs(KTEPS) 7720.92| GPU : 140.1 MB 
Epoch 00115 | Time(s) 0.0140 | Loss 0.2785 | TrainAcc 0.9500 | ValAcc 0.7980 | f1-score 0.7800 |ETputs(KTEPS) 7712.85| GPU : 140.1 MB 
Epoch 00116 | Time(s) 0.0141 | Loss 0.2577 | TrainAcc 0.9667 | ValAcc 0.8000 | f1-score 0.7780 |ETputs(KTEPS) 7709.39| GPU : 140.1 MB 
Epoch 00117 | Time(s) 0.0140 | Loss 0.2675 | TrainAcc 0.9667 | ValAcc 0.8040 | f1-score 0.7820 |ETputs(KTEPS) 7713.49| GPU : 140.1 MB 
Epoch 00118 | Time(s) 0.0140 | Loss 0.2702 | TrainAcc 0.9500 | ValAcc 0.8040 | f1-score 0.7720 |ETputs(KTEPS) 7718.37| GPU : 140.1 MB 
Epoch 00119 | Time(s) 0.0140 | Loss 0.2295 | TrainAcc 1.0000 | ValAcc 0.8040 | f1-score 0.7740 |ETputs(KTEPS) 7715.54| GPU : 140.1 MB 
Epoch 00120 | Time(s) 0.0140 | Loss 0.2413 | TrainAcc 0.9667 | ValAcc 0.8020 | f1-score 0.7780 |ETputs(KTEPS) 7719.26| GPU : 140.1 MB 
Epoch 00121 | Time(s) 0.0141 | Loss 0.2300 | TrainAcc 0.9833 | ValAcc 0.8000 | f1-score 0.7700 |ETputs(KTEPS) 7704.86| GPU : 140.1 MB 
Epoch 00122 | Time(s) 0.0141 | Loss 0.2520 | TrainAcc 0.9667 | ValAcc 0.8000 | f1-score 0.7860 |ETputs(KTEPS) 7712.38| GPU : 140.1 MB 
Epoch 00123 | Time(s) 0.0140 | Loss 0.2500 | TrainAcc 0.9667 | ValAcc 0.8000 | f1-score 0.7720 |ETputs(KTEPS) 7720.68| GPU : 140.1 MB 
Epoch 00124 | Time(s) 0.0141 | Loss 0.2224 | TrainAcc 0.9667 | ValAcc 0.8000 | f1-score 0.7800 |ETputs(KTEPS) 7682.10| GPU : 140.1 MB 
Epoch 00125 | Time(s) 0.0141 | Loss 0.2619 | TrainAcc 0.9833 | ValAcc 0.8020 | f1-score 0.7800 |ETputs(KTEPS) 7673.70| GPU : 140.1 MB 
Epoch 00126 | Time(s) 0.0142 | Loss 0.2568 | TrainAcc 0.9833 | ValAcc 0.8020 | f1-score 0.7880 |ETputs(KTEPS) 7653.82| GPU : 140.1 MB 
Epoch 00127 | Time(s) 0.0142 | Loss 0.2689 | TrainAcc 0.9667 | ValAcc 0.8000 | f1-score 0.7840 |ETputs(KTEPS) 7637.36| GPU : 140.1 MB 
Epoch 00128 | Time(s) 0.0142 | Loss 0.2894 | TrainAcc 0.9500 | ValAcc 0.8000 | f1-score 0.7800 |ETputs(KTEPS) 7638.75| GPU : 140.1 MB 
Epoch 00129 | Time(s) 0.0142 | Loss 0.2448 | TrainAcc 0.9833 | ValAcc 0.8000 | f1-score 0.7840 |ETputs(KTEPS) 7619.72| GPU : 140.1 MB 
